Gender,AgeGroup,MonthlyIncome,LoanAmount,RepaymentStatus
1,4,37,369,X
1,3,27,410,X
0,4,49,420,X
1,2,46,178,T
1,4,52,186,T
1,4,37,99,T
1,2,41,73,T
0,1,9,459,X
1,1,19,91,T
0,4,57,464,X
0,2,44,337,X
1,4,51,272,X
0,4,51,394,X
1,3,65,170,T
1,2,15,419,X
0,4,35,174,T
0,2,21,380,X
1,3,29,96,T
1,3,48,103,T
0,4,31,487,X
1,4,41,176,T
1,3,51,222,T
0,1,196,271,T
1,2,29,113,T
1,2,40,300,X
1,1,14,388,X
0,1,13,56,T
1,2,189,284,T
1,2,38,174,T
0,3,65,792,X
1,2,31,359,X
0,2,41,51,T
0,4,49,347,X
0,1,103,194,T
1,4,59,73,T
1,4,54,293,X
0,2,28,488,X
1,1,5,275,X
0,4,37,444,X
0,3,58,215,T
0,4,59,393,X
0,2,23,292,X
0,2,17,119,X
1,3,57,165,T
1,2,33,90,T
1,4,19,107,X
0,2,50,218,T
0,2,177,291,T
1,1,18,257,X
0,1,13,52,T
1,1,17,256,X
0,4,57,497,X
1,4,44,90,T
1,4,39,225,X
1,2,15,244,X
0,2,33,407,X
0,2,35,151,T
0,1,8,428,X
0,2,25,380,X
0,2,41,277,X
0,4,23,389,X
1,3,74,141,T
0,3,30,271,X
0,2,40,154,T
0,1,19,239,X
0,3,170,356,T
1,1,20,824,X
0,1,16,209,X
1,2,31,165,X
1,2,42,386,X
0,4,37,398,X
0,4,32,215,X
0,2,19,232,X
0,3,39,401,X
1,4,38,288,X
1,3,59,435,X
1,2,46,295,X
0,2,34,128,T
0,1,13,54,T
0,1,16,135,X
1,4,20,433,X
1,3,68,307,T
1,2,48,252,X
0,4,45,446,X
0,4,30,221,X
1,3,48,233,T
0,4,21,229,X
1,2,43,155,T
1,1,5,68,X
1,3,55,311,X
1,3,65,60,T
1,2,34,274,X
1,3,46,152,T
0,2,127,427,T
1,2,46,323,X
1,4,25,302,X
0,4,46,485,X
0,2,43,421,X
1,4,21,391,X
0,1,9,111,X
0,2,43,189,T
0,2,31,71,T
0,4,27,463,X
0,3,20,297,X
1,4,60,483,X
0,1,9,54,X
1,4,23,228,X
0,4,45,480,X
0,2,16,375,X
1,2,46,242,X
0,4,135,382,T
0,3,32,196,X
1,4,56,319,X
0,3,72,160,T
0,2,43,231,X
0,3,58,389,X
1,2,19,326,X
0,3,39,227,X
0,2,38,538,X
1,1,11,259,X
0,3,193,79,T
0,2,33,141,T
1,2,194,103,T
0,1,20,381,X
1,1,6,176,X
0,2,37,654,X
1,2,43,120,T
1,3,72,481,X
1,3,60,381,X
1,3,69,73,T
1,1,5,84,X
0,4,17,285,X
1,3,55,56,T
1,3,59,420,X
0,1,17,243,X
1,3,67,192,T
0,1,7,155,X
1,1,9,271,X
1,2,31,329,X
1,4,49,447,X
0,2,47,336,X
0,4,31,336,X
0,1,5,288,X
1,1,5,115,X
0,4,21,185,X
1,2,39,564,X
0,2,21,404,X
1,3,49,398,X
1,2,15,147,X
1,2,20,333,X
1,2,28,273,X
1,3,124,344,T
0,4,44,343,X
0,2,169,167,T
1,3,62,164,T
1,4,18,172,X
1,1,9,156,X
1,4,34,366,X
0,3,61,248,T
1,2,34,190,X
1,4,32,154,T
0,3,56,318,X
1,2,41,136,T
1,1,6,109,X
1,2,21,475,X
0,2,15,214,X
0,2,16,58,T
0,3,42,381,X
1,3,20,187,X
0,4,54,273,X
1,4,17,318,X
1,3,76,477,X
1,3,27,158,X
1,3,28,209,X
1,1,13,494,X
1,4,52,481,X
1,3,28,54,T
1,2,21,394,X
1,1,16,112,X
0,4,31,168,X
0,1,17,60,T
1,2,45,431,X
0,1,141,320,T
1,4,22,238,X
0,1,10,402,X
1,4,21,389,X
1,2,182,366,T
1,3,44,407,X
0,4,58,252,T
0,2,50,309,X
0,1,12,54,T
1,1,15,320,X
0,1,12,373,X
1,1,11,61,X
1,2,35,106,T
1,1,122,53,T
0,1,11,266,X
1,3,24,290,X
1,3,77,133,T
1,3,50,107,T
0,1,8,230,X
0,2,199,177,T
1,2,32,185,X
1,1,6,143,X
1,4,36,420,X
1,3,48,440,X
1,4,36,220,X
0,4,22,396,X
0,4,43,345,X
0,4,53,437,X
1,2,17,85,T
0,4,49,221,T
1,2,43,60,T
1,1,117,918,X
0,4,157,196,T
0,1,20,332,X
0,4,45,423,X
0,2,27,444,X
1,2,32,152,T
0,3,78,75,T
1,1,12,247,X
0,2,37,81,T
0,2,35,784,X
0,1,5,202,X
1,3,28,58,T
1,3,66,496,X
0,1,19,246,X
1,4,48,173,T
0,2,17,215,X
1,1,6,453,X
1,4,30,317,X
0,4,60,368,X
0,4,50,269,X
0,1,13,301,X
1,4,30,69,T
1,3,21,121,X
0,2,16,274,X
0,3,51,105,T
0,2,20,304,X
1,1,6,437,X
1,4,37,386,X
0,1,10,411,X
1,4,33,717,X
1,2,35,228,X
0,1,12,199,X
0,1,8,449,X
1,3,77,252,T
1,4,33,313,X
0,1,10,454,X
0,3,25,190,X
0,3,78,441,X
1,4,49,193,T
0,2,187,211,T
1,4,33,227,X
0,3,54,458,X
0,1,19,434,X
1,1,19,161,X
1,3,80,127,T
0,1,19,440,X
1,1,19,199,X
1,4,26,934,X
1,2,31,377,X
1,2,141,120,T
0,1,19,123,X
1,2,46,414,X
1,1,17,153,X
1,1,6,276,X
0,2,25,399,X
1,1,10,243,X
1,4,29,223,X
1,3,22,283,X
0,4,23,350,X
0,1,9,166,X
0,1,8,153,X
1,4,55,324,X
0,3,71,54,T
1,3,52,471,X
1,2,32,134,T
1,2,27,342,X
0,1,18,382,X
1,3,151,319,T
1,1,7,247,X
0,4,194,169,T
1,3,52,371,X
0,4,17,419,X
0,3,55,164,T
1,3,71,216,T
1,2,28,372,X
1,2,20,247,X
0,3,77,575,X
1,4,32,394,X
1,4,43,234,X
1,2,36,101,T
0,4,58,383,X
0,1,8,381,X
1,3,74,370,T
0,1,5,454,X
0,4,31,465,X
0,4,19,314,X
0,4,57,254,T
0,1,110,476,T
1,1,19,416,X
1,1,7,88,X
1,4,122,211,T
0,2,23,240,X
0,3,39,123,T
0,2,34,237,X
1,2,41,62,T
0,2,15,154,X
1,3,162,72,T
1,4,28,810,X
1,2,33,165,T
1,2,33,327,X
0,1,18,482,X
0,1,12,225,X
1,3,47,341,X
1,2,21,307,X
0,1,10,178,X
1,1,8,275,X
1,4,47,338,X
1,4,32,472,X
1,4,25,154,X
0,2,30,106,T
0,4,59,85,T
0,3,33,417,X
1,1,17,236,X
0,2,19,177,X
1,4,31,99,T
0,2,37,491,X
1,4,51,211,T
1,4,40,430,X
1,1,14,356,X
0,2,33,226,X
1,4,39,344,X
0,4,30,177,X
0,2,40,346,X
1,3,21,363,X
0,3,61,144,T
0,1,8,248,X
1,1,12,596,X
1,4,59,115,T
0,4,43,477,X
0,3,52,185,T
0,1,13,402,X
0,4,43,122,T
1,1,8,120,X
1,2,19,778,X
1,1,7,147,X
1,4,30,137,T
1,2,25,139,X
0,4,34,304,X
0,3,136,392,T
1,1,8,457,X
0,4,24,70,T
0,3,38,272,X
0,4,49,125,T
0,4,29,456,X
0,2,44,211,T
0,4,148,965,X
1,4,42,295,X
1,2,144,377,T
1,4,23,770,X
0,4,23,255,X
1,3,55,204,T
0,3,26,130,T
1,3,155,333,T
1,3,72,117,T
1,3,76,83,T
1,4,41,264,X
1,4,117,349,T
0,4,53,97,T
0,4,25,215,X
0,1,7,469,X
0,4,49,134,T
0,3,38,414,X
0,1,6,165,X
0,1,9,106,X
1,4,57,432,X
1,3,65,480,X
1,4,23,192,X
1,2,50,289,X
0,4,38,406,X
1,2,16,204,X
0,4,53,107,T
0,3,181,290,T
1,1,13,258,X
1,2,27,132,T
1,1,17,53,T
0,1,14,285,X
1,3,44,400,X
0,3,26,100,T
0,2,30,287,X
0,3,76,329,T
1,3,21,314,X
0,2,44,77,T
1,1,16,414,X
1,3,20,66,T
0,1,9,205,X
1,3,23,69,T
0,4,54,915,X
1,2,50,156,T
1,3,37,338,X
0,4,54,248,T
0,3,68,121,T
1,1,5,108,X
1,3,56,374,X
1,4,191,297,T
1,3,60,426,X
0,4,19,73,T
1,3,41,133,T
0,1,20,141,X
1,4,25,465,X
0,4,24,792,X
0,3,40,313,X
1,4,35,183,X
1,3,31,311,X
1,3,23,356,X
1,4,41,309,X
1,4,46,106,T
0,1,14,77,X
0,2,49,131,T
1,4,49,175,T
0,2,16,185,X
1,1,11,328,X
1,2,41,116,T
0,4,18,319,X
0,2,46,221,T
1,4,38,151,T
1,2,35,140,T
1,1,18,232,X
0,1,14,241,X
0,3,72,368,X
1,4,21,244,X
0,2,22,454,X
0,2,16,499,X
1,1,11,398,X
0,1,19,163,X
1,4,54,210,T
1,2,48,319,X
0,1,12,166,X
0,4,154,330,T
0,2,43,410,X
1,1,10,99,X
0,4,42,488,X
1,1,9,294,X
0,3,69,110,T
0,3,67,286,T
0,4,52,390,X
0,4,20,109,X
0,4,34,81,T
1,1,11,113,X
1,1,6,192,X
1,3,26,424,X
1,1,5,468,X
0,2,25,103,T
0,2,42,500,X
0,1,19,295,X
1,4,15,195,X
1,2,49,313,X
0,2,18,207,X
1,3,64,66,T
0,2,29,416,X
0,3,76,371,T
1,2,17,270,X
1,3,78,108,T
1,1,7,340,X
0,3,39,293,X
0,1,13,230,X
0,2,39,332,X
0,1,19,464,X
1,1,19,259,X
1,4,19,92,T
1,3,61,342,X
1,1,6,200,X
1,1,168,390,T
0,1,195,394,T
1,2,17,256,X
0,1,10,294,X
0,3,30,498,X
0,2,21,120,X
0,4,46,237,X
1,1,9,376,X
0,1,20,97,T
1,1,11,233,X
1,3,57,135,T
1,1,10,171,X
0,4,15,217,X
0,2,24,489,X
0,1,11,453,X
0,2,24,434,X
1,3,34,146,T
0,4,39,272,X
1,2,46,174,T
1,4,29,309,X
0,4,44,418,X
1,2,47,396,X
0,4,34,230,X
1,1,10,182,X
0,3,58,333,X
1,4,22,447,X
1,1,20,74,T
0,1,19,303,X
1,1,17,345,X
1,1,11,323,X
1,1,6,332,X
0,3,52,465,X
1,4,25,329,X
0,3,78,301,T
0,2,16,772,X
1,1,20,493,X
1,3,77,71,T
0,1,16,57,T
1,1,9,386,X
0,3,54,480,X
0,2,38,340,X
1,2,49,170,T
1,1,6,201,X
0,4,26,420,X
0,2,30,249,X
0,3,60,72,T
1,3,71,218,T
1,2,39,644,X
1,1,13,211,X
0,2,28,416,X
1,1,19,357,X
1,4,21,496,X
1,3,24,781,X
0,2,22,229,X
1,3,53,87,T
0,3,25,206,X
0,4,48,224,T
0,3,50,219,T
0,3,60,55,T
0,3,71,253,T
0,2,19,242,X
0,3,154,322,T
1,2,36,133,T
1,1,6,202,X
1,4,59,131,T
1,1,8,396,X
0,3,55,443,X
0,2,35,99,T
1,3,73,321,T
0,1,5,167,X
1,2,30,93,T
1,4,42,423,X
1,2,21,174,X
0,3,64,83,T
1,1,5,51,X
1,1,13,360,X
1,3,73,309,T
1,2,42,160,T
1,4,41,465,X
0,3,33,321,X
1,1,17,230,X
1,4,41,488,X
1,1,17,437,X
0,4,30,432,X
0,1,13,209,X
1,2,31,475,X
1,4,23,312,X
0,4,28,68,T
1,2,37,337,X
0,3,75,395,X
1,1,15,126,X
0,3,36,247,X
0,2,49,64,T
1,2,49,103,T
1,1,17,439,X
1,3,38,159,T
0,3,49,203,T
1,3,73,170,T
1,4,18,360,X
0,2,49,310,X
1,4,17,64,T
0,2,132,148,T
0,2,37,762,X
0,3,68,60,T
0,1,13,440,X
0,3,51,169,T
1,2,30,186,X
0,3,105,384,T
0,3,48,279,X
1,3,63,102,T
0,2,47,139,T
0,4,43,70,T
1,4,37,147,T
1,2,46,330,X
1,1,6,300,X
1,4,28,97,T
1,2,47,130,T
1,3,66,398,X
0,2,33,491,X
1,4,50,223,T
0,2,48,310,X
0,2,27,236,X
0,1,9,395,X
0,1,19,107,X
0,1,12,490,X
0,4,15,934,X
1,3,25,918,X
0,3,75,301,T
1,3,63,55,T
1,1,12,281,X
1,3,70,273,T
0,3,42,472,X
1,1,14,467,X
1,1,6,353,X
1,3,28,266,X
0,2,24,259,X
0,2,37,278,X
1,4,41,90,T
1,3,41,188,T
1,4,182,493,T
0,4,39,306,X
1,1,5,487,X
1,4,16,432,X
0,4,41,378,X
1,3,33,440,X
1,3,130,411,T
0,3,157,809,X
1,4,42,128,T
1,4,33,163,T
1,3,29,145,T
1,4,19,336,X
1,2,47,310,X
1,1,7,139,X
0,2,50,198,T
0,4,27,125,T
1,1,18,157,X
1,3,183,265,T
1,3,39,871,X
0,1,8,427,X
0,3,51,471,X
0,1,10,131,X
0,4,48,96,T
1,3,21,144,X
0,3,56,291,X
0,1,14,170,X
0,4,27,113,T
1,3,58,456,X
0,4,39,142,T
1,4,34,392,X
0,3,67,292,T
0,1,7,395,X
1,2,27,423,X
0,1,19,398,X
1,1,9,422,X
0,4,36,221,X
1,4,32,106,T
1,2,45,174,T
1,3,27,406,X
1,2,38,273,X
1,3,38,162,T
0,3,69,450,X
0,2,50,182,T
0,1,13,373,X
1,1,19,365,X
0,1,16,131,X
0,2,41,243,X
1,4,115,480,T
0,1,19,72,T
1,2,16,197,X
1,2,39,321,X
1,4,32,170,X
0,3,56,331,X
1,1,16,395,X
0,4,45,90,T
1,3,49,372,X
1,2,38,260,X
1,1,6,171,X
1,2,15,438,X
0,3,60,184,T
0,4,29,185,X
1,4,24,253,X
0,1,13,145,X
1,2,44,388,X
0,1,13,225,X
1,2,35,496,X
1,3,47,209,T
0,4,22,250,X
0,3,78,332,T
0,1,7,54,X
1,2,33,128,T
1,4,49,282,X
0,2,29,321,X
1,2,22,95,T
0,1,186,93,T
0,4,15,135,X
0,4,30,441,X
0,3,22,92,T
1,2,33,319,X
1,1,17,300,X
0,4,48,434,X
1,2,20,96,T
1,1,12,387,X
0,2,43,242,X
0,4,19,199,X
1,2,42,869,X
0,2,25,308,X
0,4,30,69,T
1,4,48,249,X
0,3,34,122,T
1,1,20,490,X
1,4,58,51,T
1,4,20,367,X
0,2,36,170,T
1,2,29,381,X
1,4,15,302,X
0,2,30,481,X
1,1,6,316,X
1,3,73,189,T
1,4,18,454,X
1,3,64,342,X
1,3,47,209,T
1,4,35,440,X
1,4,42,368,X
1,2,31,198,X
1,2,44,276,X
1,1,7,429,X
1,3,42,149,T
1,4,19,473,X
0,4,33,391,X
0,4,19,370,X
1,4,27,54,T
1,1,5,151,X
0,4,32,344,X
0,3,70,104,T
1,2,28,288,X
0,2,20,158,X
1,3,58,306,X
1,3,64,484,X
1,3,29,170,X
1,2,41,59,T
1,4,16,191,X
1,1,17,278,X
0,4,59,479,X
1,4,58,173,T
1,4,46,353,X
0,2,42,486,X
1,4,33,66,T
1,3,60,293,T
1,1,15,377,X
1,3,64,289,T
0,1,18,62,T
0,2,20,249,X
1,3,54,260,T
0,4,23,877,X
0,1,6,265,X
0,1,18,294,X
0,2,15,358,X
0,4,53,394,X
0,3,49,65,T
1,1,12,289,X
0,4,55,253,T
0,4,22,486,X
1,3,60,260,T
1,2,50,188,T
0,3,40,485,X
1,4,55,99,T
0,4,181,394,T
0,1,14,290,X
1,2,22,58,T
0,3,41,89,T
1,4,26,202,X
0,1,9,355,X
1,3,22,108,T
1,1,11,564,X
1,4,52,160,T
1,3,45,250,X
0,2,35,126,T
0,2,17,71,T
0,1,10,450,X
0,3,52,245,T
0,3,55,145,T
0,4,18,106,X
0,4,114,272,T
0,1,15,376,X
1,4,26,181,X
1,4,33,780,X
0,4,24,198,X
1,2,29,65,T
0,2,39,309,X
1,2,24,135,X
0,4,18,305,X
1,1,12,331,X
0,2,49,477,X
1,1,14,368,X
0,2,18,892,X
0,1,7,485,X
1,3,65,88,T
1,4,41,58,T
1,2,42,308,X
0,3,58,486,X
1,4,31,264,X
0,2,20,234,X
0,2,29,264,X
1,2,23,212,X
0,2,26,466,X
0,1,137,455,T
1,1,16,149,X
1,2,32,62,T
1,1,17,154,X
1,3,51,486,X
0,3,57,224,T
0,1,7,156,X
0,2,40,323,X
1,3,41,434,X
0,3,30,355,X
0,2,23,491,X
1,4,27,215,X
0,2,37,69,T
0,4,187,202,T
0,4,17,259,X
1,3,37,176,T
0,2,49,157,T
0,3,63,343,X
0,3,72,408,X
1,2,20,294,X
1,4,46,326,X
0,1,20,343,X
1,2,158,107,T
0,1,114,180,T
0,1,5,254,X
1,2,35,272,X
0,1,177,441,T
1,1,6,187,X
0,4,36,165,T
1,4,48,165,T
0,2,26,337,X
1,4,42,163,T
0,4,41,248,X
1,3,52,472,X
0,4,50,410,X
0,1,11,296,X
1,2,49,283,X
1,4,52,327,X
1,2,44,300,X
0,3,73,149,T
0,3,79,212,T
1,4,46,493,X
0,1,16,252,X
1,4,49,351,X
0,2,39,209,X
0,3,49,917,X
1,3,38,176,T
0,3,70,248,T
0,2,20,116,X
0,1,110,230,T
1,4,56,334,X
1,4,49,430,X
0,2,18,466,X
1,3,40,185,T
0,2,28,445,X
1,2,29,489,X
0,1,14,327,X
1,4,28,484,X
1,2,30,152,X
0,3,62,253,T
1,1,19,259,X
1,3,64,420,X
0,1,16,75,T
1,2,36,389,X
0,3,46,253,X
1,1,19,201,X
0,3,74,201,T
1,1,133,466,T
1,4,18,499,X
1,3,80,386,T
1,4,38,385,X
1,2,29,149,X
0,4,19,462,X
0,2,19,367,X
1,1,11,394,X
0,3,63,84,T
0,1,17,145,X
1,1,14,118,X
1,4,39,398,X
1,2,44,125,T
1,1,12,469,X
1,1,15,266,X
0,3,55,207,T
1,1,14,939,X
0,2,21,68,T
1,4,49,432,X
1,2,50,347,X
1,2,48,449,X
0,3,42,365,X
0,1,13,472,X
0,3,48,155,T
0,2,32,400,X
1,1,10,390,X
1,2,40,114,T
0,3,62,489,X
0,1,5,57,X
1,4,25,114,T
1,3,38,460,X
1,3,22,384,X
1,1,14,144,X
0,2,46,450,X
1,3,77,448,X
1,4,18,140,X
0,2,45,312,X
0,2,21,343,X
1,1,19,376,X
0,2,33,399,X
0,4,44,469,X
0,1,10,871,X
0,4,57,85,T
1,1,20,54,T
1,3,69,62,T
1,3,55,230,T
0,2,18,208,X
0,3,62,282,T
1,2,41,404,X
0,1,20,303,X
0,3,73,358,T
1,4,51,101,T
1,3,38,111,T
0,1,10,138,X
1,1,10,82,X
0,4,28,122,T
0,1,16,236,X
1,2,47,476,X
0,1,14,443,X
0,4,18,153,X
0,1,15,418,X
1,3,59,230,T
1,3,69,252,T
0,4,38,443,X
1,4,53,339,X
0,3,59,427,X
1,1,18,466,X
0,1,12,420,X
0,2,44,375,X
0,4,35,115,T
1,2,25,238,X
0,3,73,329,T
0,3,30,438,X
1,1,11,367,X
1,4,55,58,T
0,3,64,365,X
1,2,50,415,X
0,2,36,231,X
1,2,197,839,T
0,4,45,347,X
0,2,38,375,X
1,3,26,275,X
0,1,16,159,X
1,4,49,466,X
1,3,53,314,X
1,4,23,90,T
1,3,44,432,X
0,3,56,164,T
1,1,9,141,X
0,2,37,464,X
1,1,11,243,X
1,1,6,266,X
1,1,15,388,X
0,2,22,260,X
1,3,20,186,X
1,3,45,290,X
1,1,13,289,X
1,3,45,314,X
1,3,80,455,X
0,4,43,400,X
0,3,64,322,X
1,3,60,113,T
1,1,19,157,X
1,1,14,237,X
1,2,29,126,T
1,2,17,416,X
1,2,44,64,T
0,3,76,455,X
1,2,33,87,T
0,4,49,273,X
1,3,35,251,X
0,4,29,146,X
0,3,55,335,X
0,4,53,228,T
0,1,18,499,X
1,4,50,423,X
0,2,31,329,X
0,3,25,205,X
0,2,40,447,X
0,1,7,267,X
0,1,11,211,X
1,3,37,429,X
1,2,45,377,X
1,3,77,176,T
1,4,51,280,X
1,3,30,384,X
1,3,69,166,T
1,4,198,85,T
1,4,50,253,X
1,4,23,95,T
0,2,24,297,X
0,4,53,73,T
1,4,28,245,X
1,2,28,68,T
0,2,17,173,X
0,4,58,148,T
0,3,63,97,T
0,2,50,264,X
0,3,41,162,T
1,1,18,445,X
0,3,40,65,T
1,1,14,477,X
0,3,54,349,X
1,3,33,146,T
1,2,49,294,X
0,4,52,343,X
0,1,18,284,X
1,4,38,417,X
0,1,15,427,X
0,4,45,207,T
1,4,18,381,X
1,4,57,340,X
0,1,5,66,X
1,4,37,67,T
0,3,79,337,T
0,3,52,70,T
0,3,51,420,X
0,1,13,326,X
0,4,16,154,X
0,4,47,461,X
1,1,18,191,X
1,3,30,75,T
0,2,49,258,X
1,1,18,116,X
0,4,19,350,X
1,1,13,333,X
1,1,10,492,X
0,2,26,398,X
1,1,12,472,X
0,3,37,72,T
0,3,25,664,X
0,1,8,305,X
1,1,13,140,X
1,4,58,367,X
1,3,53,376,X
1,3,32,375,X
0,2,38,998,X
1,4,37,158,T
1,2,40,114,T
0,4,31,96,T
0,4,21,396,X
1,3,65,120,T
0,4,50,460,X
0,3,27,125,T
0,4,58,325,X
1,4,18,422,X
1,2,18,212,X
0,2,37,153,T
0,1,8,228,X
1,1,14,430,X
1,4,194,466,T
0,2,32,320,X
1,3,32,490,X
0,4,59,249,T
1,3,58,352,X
1,4,16,163,X
1,1,5,256,X
1,4,56,163,T
0,2,15,204,X
1,3,68,396,X
1,1,8,300,X
0,3,79,77,T
0,2,46,88,T
0,1,10,342,X
0,4,32,77,T
1,1,20,305,X
0,2,28,69,T
0,4,32,267,X
0,3,34,391,X
0,1,7,212,X
0,3,58,188,T
0,2,133,385,T
1,4,173,329,T
1,4,16,250,X
1,2,39,363,X
0,4,42,63,T
0,2,39,354,X
0,4,56,345,X
0,4,46,53,T
0,2,19,407,X
0,3,67,57,T
0,4,60,463,X
0,3,21,124,X
0,1,17,227,X
1,4,17,905,X
0,4,21,325,X
0,2,25,304,X
1,3,45,314,X
1,2,16,358,X
1,2,37,280,X
1,3,36,341,X
0,1,8,463,X
1,1,7,89,X
0,1,12,439,X
1,2,179,439,T
0,2,27,127,T
0,1,8,83,X
0,4,51,229,T
1,4,154,447,T
1,1,16,413,X
0,4,27,255,X
0,3,72,217,T
0,4,50,448,X
0,3,48,473,X
0,4,54,445,X
0,3,33,133,T
0,1,17,345,X
0,4,57,467,X
1,1,17,92,X
0,1,5,358,X
1,2,45,82,T
0,3,26,456,X
0,2,17,275,X
0,4,54,351,X
1,4,19,449,X
1,3,67,191,T
0,4,32,486,X
1,2,27,375,X
0,2,27,85,T
1,2,40,391,X
0,4,176,251,T
1,1,10,81,X
1,4,26,466,X
0,4,27,96,T
1,2,25,162,X
0,3,43,373,X
1,4,26,138,X
1,1,16,333,X
0,2,132,279,T
1,4,18,345,X
1,2,31,68,T
0,1,12,329,X
1,2,25,163,X
1,1,16,822,X
1,4,32,454,X
0,4,21,94,T
1,1,9,180,X
0,2,34,348,X
1,3,102,426,T
1,1,6,279,X
1,2,156,492,T
0,1,8,194,X
1,1,122,99,T
0,1,161,170,T
0,4,19,402,X
0,2,47,263,X
0,3,79,427,X
1,2,32,151,T
0,4,46,510,X
1,1,9,465,X
0,1,18,440,X
0,1,12,347,X
1,1,6,445,X
0,4,52,286,X
1,1,13,452,X
0,3,32,348,X
1,1,16,274,X
0,3,38,487,X
0,3,80,476,X
0,2,15,403,X
0,2,34,438,X
1,3,43,65,T
1,1,12,471,X
0,2,49,410,X
1,1,11,83,X
0,2,46,89,T
0,3,46,381,X
1,3,78,424,X
0,4,54,327,X
0,1,7,190,X
1,3,63,327,X
1,4,48,285,X
1,3,52,164,T
1,2,21,600,X
1,2,42,231,X
1,1,11,188,X
0,3,61,154,T
1,4,17,366,X
1,2,34,288,X
0,4,17,431,X
1,1,8,154,X
0,3,39,426,X
1,2,29,55,T
1,3,68,409,X
0,3,59,221,T
1,3,21,223,X
0,4,39,400,X
1,3,79,269,T
1,1,15,504,X
0,1,10,391,X
1,3,56,211,T
1,2,20,149,X
0,4,31,257,X
0,1,9,302,X
0,2,30,487,X
1,2,49,817,X
1,3,26,329,X
1,3,51,152,T
1,3,53,316,X
1,1,15,479,X
0,4,43,375,X
0,2,15,180,X
0,1,5,361,X
0,1,9,189,X
1,2,16,81,X
0,3,67,286,T
1,3,38,402,X
1,2,44,304,X
0,1,17,194,X
0,4,39,498,X
0,4,43,434,X
1,4,48,334,X
1,4,26,140,X
1,4,51,315,X
0,4,51,426,X
0,3,69,279,T
0,4,51,98,T
0,1,19,433,X
1,1,11,127,X
0,4,53,458,X
0,2,15,388,X
1,2,27,181,X
1,2,48,331,X
0,4,23,290,X
1,2,41,106,T
0,4,42,106,T
1,2,33,113,T
0,4,45,258,X
1,2,20,202,X
0,3,60,59,T
0,4,56,416,X
1,1,5,442,X
0,1,16,106,X
0,3,54,79,T
1,2,38,311,X
0,2,38,217,X
1,2,39,318,X
0,1,19,134,X
0,2,46,377,X
0,4,51,342,X
0,1,11,72,X
1,4,48,460,X
1,1,14,401,X
1,4,15,238,X
1,4,112,397,T
1,4,54,153,T
0,2,16,336,X
0,2,24,246,X
0,2,34,317,X
1,2,29,827,X
1,1,17,263,X
0,1,19,379,X
0,2,20,420,X
1,1,17,248,X
0,3,45,319,X
1,3,54,290,X
0,4,58,426,X
0,1,18,177,X
1,3,42,236,X
1,2,36,78,T
1,1,20,500,X
0,2,124,268,T
1,1,20,374,X
1,1,10,211,X
1,3,46,275,X
1,3,39,451,X
0,4,52,141,T
1,4,42,650,X
1,2,27,78,T
1,2,18,379,X
0,4,58,222,T
0,4,39,224,X
0,4,22,394,X
0,2,43,122,T
0,3,41,418,X
1,1,16,153,X
1,4,39,245,X
0,3,135,313,T
0,4,54,257,T
0,3,45,186,T
0,2,20,263,X
1,2,15,140,X
1,4,15,112,X
1,3,24,205,X
1,2,35,485,X
1,4,37,441,X
1,2,31,479,X
0,1,14,490,X
0,2,23,315,X
1,1,5,225,X
1,3,70,445,X
0,3,33,469,X
0,4,40,349,X
0,1,8,471,X
1,3,35,482,X
0,3,41,129,T
0,4,47,468,X
0,4,28,162,X
0,1,11,200,X
0,3,52,281,X
0,1,18,177,X
0,1,12,357,X
0,3,70,354,X
1,3,60,110,T
0,3,68,272,T
0,3,69,500,X
1,3,33,490,X
0,4,44,374,X
0,3,74,384,X
1,3,62,496,X
0,2,50,484,X
1,1,8,460,X
1,4,39,420,X
0,2,28,117,T
1,3,51,395,X
0,4,31,403,X
1,4,56,326,X
1,1,16,416,X
0,1,14,385,X
0,1,11,157,X
1,4,38,324,X
0,4,27,399,X
0,3,29,209,X
1,4,45,114,T
1,2,42,278,X
1,1,177,308,T
0,4,19,235,X
0,2,16,396,X
0,1,15,181,X
1,4,43,124,T
1,3,35,469,X
0,4,52,449,X
0,3,70,177,T
0,3,36,61,T
0,4,20,120,X
1,1,17,325,X
1,2,24,364,X
1,2,159,206,T
1,2,33,169,X
1,2,32,280,X
0,2,26,303,X
0,4,60,249,T
0,2,37,224,X
1,4,15,337,X
0,1,18,301,X
1,1,6,80,X
0,2,21,274,X
0,4,42,192,T
0,1,17,405,X
0,1,16,190,X
0,3,71,142,T
1,4,27,157,X
1,3,78,274,T
1,1,18,350,X
1,4,19,864,X
0,3,28,451,X
0,1,11,446,X
1,2,49,494,X
0,4,29,474,X
1,4,22,349,X
0,3,38,254,X
1,3,43,525,X
1,2,38,168,T
1,2,39,65,T
1,4,48,732,X
0,2,35,985,X
0,3,69,110,T
0,4,52,491,X
1,1,19,139,X
0,2,44,491,X
0,3,71,169,T
0,1,10,388,X
0,1,18,370,X
0,1,17,857,X
1,2,49,400,X
0,3,74,58,T
0,3,66,145,T
1,1,7,386,X
1,4,50,346,X
0,2,46,82,T
0,2,18,67,T
1,4,51,263,X
1,2,26,74,T
0,4,45,344,X
1,4,29,530,X
1,3,44,68,T
0,4,178,324,T
0,2,50,326,X
1,4,53,390,X
0,2,105,356,T
